mergednewScores
,name,pred_points,Unnamed: 0,first_name,second_name,Name,element_type,Team,now_cost
81,Kyle Walker,2.381810426712040,385,Kyle,Walker,Kyle Walker,DEF,Man City,5.4
82,Lukasz Fabianski,2.6991100311279300,624,Lukasz,Fabianski,Lukasz Fabianski,GK,West Ham,5.0
83,Luke Shaw,2.1439247131347700,422,Luke,Shaw,Luke Shaw,DEF,Man Utd,5.0
84,Manuel Lanzini,2.9937968254089400,632,Manuel,Lanzini,Manuel Lanzini,MID,West Ham,5.8
85,Marcus Rashford,2.4830172061920200,428,Marcus,Rashford,Marcus Rashford,MID,Man Utd,9.4
86,Marc Albrighton,3.033384084701540,282,Marc,Albrighton,Marc Albrighton,MID,Leicester,5.2
87,Mark Noble,2.4373269081115700,622,Mark,Noble,Mark Noble,MID,West Ham,4.4
88,Martin Kelly,0.5820547342300420,216,Martin,Kelly,Martin Kelly,DEF,Crystal Palace,3.9
89,Mason Holgate,0.0,255,Mason,Holgate,Mason Holgate,DEF,Everton,4.2
90,Matej Vydra,0.0,161,Matej,Vydra,Matej Vydra,FWD,Burnley,5.2
91,Matthew Lowton,0.0,160,Matthew,Lowton,Matthew Lowton,DEF,Burnley,4.4
92,Matt Targett,0.44443371891975400,47,Matt,Targett,Matt Targett,DEF,Aston Villa,4.7
93,Michael Keane,2.159359931945800,246,Michael,Keane,Michael Keane,DEF,Everton,4.9
94,Michail Antonio,5.40786600112915,629,Michail,Antonio,Michail Antonio,FWD,West Ham,7.9
95,Michy Batshuayi,0.5211523771286010,184,Michy,Batshuayi,Michy Batshuayi,FWD,Chelsea,5.5
96,Nampalys Mendy,0.0,283,Nampalys,Mendy,Nampalys Mendy,MID,Leicester,4.3
97,Nathaniel Clyne,5.477578163146970,233,Nathaniel,Clyne,Nathaniel Clyne,DEF,Crystal Palace,4.3
98,Nathan Redmond,2.166571855545040,516,Nathan,Redmond,Nathan Redmond,MID,Southampton,5.9
99,Nemanja Matic,0.0,418,Nemanja,Matic,Nemanja Matic,MID,Man Utd,4.4
100,Nick Pope,3.994560956954960,162,Nick,Pope,Nick Pope,GK,Burnley,5.4
101,Oleksandr Zinchenko,0.0,400,Oleksandr,Zinchenko,Oleksandr Zinchenko,DEF,Man City,5.3
102,Olivier Giroud,4.369631290435790,178,Olivier,Giroud,Olivier Giroud,FWD,Chelsea,6.5
103,Oriol Romeu Vidal,1.0191974639892600,515,Oriol,Romeu Vidal,Oriol Romeu Vidal,MID,Southampton,4.5
104,Paul Pogba,2.139147996902470,419,Paul,Pogba,Paul Pogba,MID,Man Utd,7.4
105,Phil Bardsley,0.7561503648757940,150,Phil,Bardsley,Phil Bardsley,DEF,Burnley,3.9
106,Phil Jones,1.20814049243927,444,Phil,Jones,Phil Jones,DEF,Man Utd,4.5
107,Raheem Sterling,7.568173885345460,391,Raheem,Sterling,Raheem Sterling,MID,Man City,10.7
108,Riyad Mahrez,7.406706809997560,390,Riyad,Mahrez,Riyad Mahrez,MID,Man City,8.6
109,Roberto Firmino,4.388920783996580,355,Roberto,Firmino,Roberto Firmino,FWD,Liverpool,8.7
110,Rob Holding,0.0,13,Rob,Holding,Rob Holding,DEF,Arsenal,4.1
111,Romelu Lukaku,1.7840152978897100,203,Romelu,Lukaku,Romelu Lukaku,FWD,Chelsea,11.5
112,Ross Barkley,2.460550546646120,182,Ross,Barkley,Ross Barkley,MID,Chelsea,5.2
113,Ruben Loftus-Cheek,1.2570151090621900,189,Ruben,Loftus-Cheek,Ruben Loftus-Cheek,MID,Chelsea,5.4
114,Ryan Bertrand,1.0681250095367400,304,Ryan,Bertrand,Ryan Bertrand,DEF,Leicester,4.6
115,Sam Byram,0.16267049312591600,486,Sam,Byram,Sam Byram,DEF,Norwich,4.4
116,Seamus Coleman,2.1583824157714800,243,Seamus,Coleman,Seamus Coleman,DEF,Everton,4.9
117,Shane Long,0.4130730628967290,534,Shane,Long,Shane Long,FWD,Southampton,5.4
118,Theo Walcott,1.8128849267959600,512,Theo,Walcott,Theo Walcott,MID,Southampton,5.8
119,Toby Alderweireld,7.6118621826171900,545,Toby,Alderweireld,Toby Alderweireld,DEF,Spurs,5.0
120,Tom Cleverley,0.6261199712753300,581,Tom,Cleverley,Tom Cleverley,MID,Watford,4.8
121,Tom Davies,0.0,253,Tom,Davies,Tom Davies,MID,Everton,4.8
122,Tom Heaton,1.8934167623519900,438,Tom,Heaton,Tom Heaton,GK,Man Utd,3.9
123,Trent Alexander-Arnold,0.2963559329509740,364,Trent,Alexander-Arnold,Trent Alexander-Arnold,DEF,Liverpool,8.4
124,Troy Deeney,1.9703575372695900,580,Troy,Deeney,Troy Deeney,FWD,Watford,5.4
125,Tyrone Mings,0.8467365503311160,46,Tyrone,Mings,Tyrone Mings,DEF,Aston Villa,5.0
126,Virgil van Dijk,5.930317401885990,356,Virgil,van Dijk,Virgil van Dijk,DEF,Liverpool,6.6
127,Wayne Hennessey,1.1663482189178500,170,Wayne,Hennessey,Wayne Hennessey,GK,Burnley,4.5
128,Wilfried Zaha,3.5820186138153100,219,Wilfried,Zaha,Wilfried Zaha,MID,Crystal Palace,6.8
129,Willian Borges Da Silva,3.6716599464416500,2,Willian,Borges Da Silva,Willian Borges Da Silva,MID,Arsenal,6.3
130,Willy Caballero,0.18811723589897200,539,Willy,Caballero,Willy Caballero,GK,Southampton,4.4
131,Winston Reid,0.0,626,Winston,Reid,Winston Reid,DEF,West Ham,3.9
132,Xherdan Shaqiri,0.0,353,Xherdan,Shaqiri,Xherdan Shaqiri,MID,Liverpool,5.9
133,Ashley Fletcher,0.0,594,Ashley,Fletcher,Ashley Fletcher,FWD,Watford,4.8
134,Nathaniel Chalobah,0.0,585,Nathaniel,Chalobah,Nathaniel Chalobah,MID,Watford,5.0
135,Ryan Fraser,3.3951849937439000,455,Ryan,Fraser,Ryan Fraser,MID,Newcastle,5.3
136,Javier Manquillo,1.664968490600590,459,Javier,Manquillo,Javier Manquillo,DEF,Newcastle,3.9
137,Jeff Hendrick,3.6201562881469700,454,Jeff,Hendrick,Jeff Hendrick,MID,Newcastle,4.8
138,Marcos Alonso,3.284694194793700,180,Marcos,Alonso,Marcos Alonso,DEF,Chelsea,5.7
139,Moussa Sissoko,1.2054173946380600,575,Moussa,Sissoko,Moussa Sissoko,MID,Watford,4.4
140,Patrick Bamford,6.272815704345700,319,Patrick,Bamford,Patrick Bamford,FWD,Leeds,7.7
141,Ainsley Maitland-Niles,0.33425402641296400,12,Ainsley,Maitland-Niles,Ainsley Maitland-Niles,MID,Arsenal,5.2
142,Kevin Long,0.5165788531303410,154,Kevin,Long,Kevin Long,DEF,Burnley,4.0
143,Daniel James,0.0,331,Daniel,James,Daniel James,MID,Leeds,6.0
144,Dominic Calvert-Lewin,2.974461555480960,254,Dominic,Calvert-Lewin,Dominic Calvert-Lewin,FWD,Everton,7.9
145,Ben Woodburn,0.0,377,Ben,Woodburn,Ben Woodburn,MID,Liverpool,4.5
146,Domingos Quina,0.2710815966129300,596,Domingos,Quina,Domingos Quina,MID,Watford,4.5
147,Aaron Wan-Bissaka,0.0,434,Aaron,Wan-Bissaka,Aaron Wan-Bissaka,DEF,Man Utd,5.1
148,Jonjoe Kenny,0.39429569244384800,262,Jonjoe,Kenny,Jonjoe Kenny,DEF,Everton,4.4
149,Declan Rice,2.10168719291687,637,Declan,Rice,Declan Rice,MID,West Ham,5.1
150,Harry Lewis,0.0,538,Harry,Lewis,Harry Lewis,GK,Southampton,4.0
151,Ademola Lookman,0.6977246403694150,307,Ademola,Lookman,Ademola Lookman,MID,Leicester,6.0
152,Gabriel Fernando de Jesus,19.364809036254900,399,Gabriel Fernando,de Jesus,Gabriel Fernando de Jesus,FWD,Man City,8.6
153,Wilfred Ndidi,2.418649911880490,296,Wilfred,Ndidi,Wilfred Ndidi,MID,Leicester,4.8
154,Ashley Westwood,1.4072232246398900,158,Ashley,Westwood,Ashley Westwood,MID,Burnley,5.3
155,Jordan Ayew,2.7376930713653600,218,Jordan,Ayew,Jordan Ayew,FWD,Crystal Palace,5.8
156,Luka Milivojevic,5.007279872894290,217,Luka,Milivojevic,Luka Milivojevic,MID,Crystal Palace,5.3
157,Connor Roberts,0.0,176,Connor,Roberts,Connor Roberts,DEF,Burnley,4.5
158,Axel Tuanzebe,0.3108992874622350,430,Axel,Tuanzebe,Axel Tuanzebe,DEF,Man Utd,4.4
159,Angus Gunn,2.243439197540280,497,Angus,Gunn,Angus Gunn,GK,Norwich,4.0
160,Scott McTominay,2.9958291053772000,432,Scott,McTominay,Scott McTominay,MID,Man Utd,5.4
161,Aaron Ramsdale,2.6200716495513900,33,Aaron,Ramsdale,Aaron Ramsdale,GK,Arsenal,5.1
162,Alexandre Lacazette,3.0500895977020300,5,Alexandre,Lacazette,Alexandre Lacazette,FWD,Arsenal,8.4
163,Andreas Christensen,0.0,190,Andreas,Christensen,Andreas Christensen,DEF,Chelsea,4.6
164,Benjamin Mendy,0.0,389,Benjamin,Mendy,Benjamin Mendy,DEF,Man City,5.2
165,Bernardo Mota Veiga de Carvalho e Silva,5.560871124267580,397,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Mota Veiga de Carvalho e Silva,MID,Man City,7.5
166,Charlie Taylor,3.9810030460357700,163,Charlie,Taylor,Charlie Taylor,DEF,Burnley,4.4
167,Ciaran Clark,1.4403971433639500,450,Ciaran,Clark,Ciaran Clark,DEF,Newcastle,4.4
168,Dale Stephens,0.7520977854728700,153,Dale,Stephens,Dale Stephens,MID,Burnley,4.4
169,Dwight Gayle,1.2638903856277500,457,Dwight,Gayle,Dwight Gayle,FWD,Newcastle,5.2
170,Ederson Santana de Moraes,2.9358561038970900,393,Ederson,Santana de Moraes,Ederson Santana de Moraes,GK,Man City,6.1
171,Grant Hanley,0.0,484,Grant,Hanley,Grant Hanley,DEF,Norwich,4.4
172,Isaac Hayden,1.1180357933044400,463,Isaac,Hayden,Isaac Hayden,MID,Newcastle,4.5
173,Jacob Murphy,0.942952573299408,461,Jacob,Murphy,Jacob Murphy,MID,Newcastle,4.7
174,Jairo Riedewald,0.7864336967468260,222,Jairo,Riedewald,Jairo Riedewald,MID,Crystal Palace,4.7
175,Jamaal Lascelles,0.8838353157043460,456,Jamaal,Lascelles,Jamaal Lascelles,DEF,Newcastle,4.4
176,Jan Bednarek,0.0,521,Jan,Bednarek,Jan Bednarek,DEF,Southampton,4.4
177,Jonjo Shelvey,1.7694988250732400,448,Jonjo,Shelvey,Jonjo Shelvey,MID,Newcastle,5.3
178,Karl Darlow,0.4662392735481260,451,Karl,Darlow,Karl Darlow,GK,Newcastle,4.5
179,Kyle Walker-Peters,1.4356682300567600,520,Kyle,Walker-Peters,Kyle Walker-Peters,DEF,Southampton,4.8
180,Lewis Dunk,0.6436160206794740,117,Lewis,Dunk,Lewis Dunk,DEF,Brighton,4.8
181,Mathew Ryan,2.509190559387210,123,Mathew,Ryan,Mathew Ryan,GK,Brighton,4.5
182,Mathias Jorgensen,1.4494739770889300,104,Mathias,Jorgensen,Mathias Jorgensen,DEF,Brentford,4.5
183,Matt Ritchie,2.724152088165280,449,Matt,Ritchie,Matt Ritchie,DEF,Newcastle,4.9
184,Mohamed Salah,6.004116058349610,360,Mohamed,Salah,Mohamed Salah,MID,Liverpool,12.7
185,Paul Dummett,1.3208364248275800,458,Paul,Dummett,Paul Dummett,DEF,Newcastle,4.5
186,Phil Foden,1.9025897979736300,401,Phil,Foden,Phil Foden,MID,Man City,8.0
187,Reiss Nelson,0.661190390586853,30,Reiss,Nelson,Reiss Nelson,MID,Arsenal,5.0
188,Richarlison de Andrade,1.5000547170639000,257,Richarlison,de Andrade,Richarlison de Andrade,FWD,Everton,7.4
189,Robert Elliot,0.14877688884735100,613,Robert,Elliot,Robert Elliot,GK,Watford,4.0
190,Sead Kolasinac,0.0,10,Sead,Kolasinac,Sead Kolasinac,DEF,Arsenal,4.2
191,Shane Duffy,2.6103553771972700,114,Shane,Duffy,Shane Duffy,DEF,Brighton,4.1
192,Solomon March,4.3398118019104,118,Solomon,March,Solomon March,MID,Brighton,5.3
193,Tammy Abraham,2.554638385772710,193,Tammy,Abraham,Tammy Abraham,FWD,Chelsea,6.5
194,Will Hughes,0.0,228,Will,Hughes,Will Hughes,MID,Crystal Palace,4.7
195,Chris Wood,0.0,447,Chris,Wood,Chris Wood,FWD,Newcastle,6.7
196,Danny Ward,0.6129254102706910,284,Danny,Ward,Danny Ward,GK,Leicester,4.0
197,Freddie Woodman,0.0,471,Freddie,Woodman,Freddie Woodman,GK,Newcastle,4.3
198,Nikola Vlasic,0.5262663960456850,646,Nikola,Vlasic,Nikola Vlasic,MID,West Ham,5.7
199,Serge Aurier,0.0,548,Serge,Aurier,Serge Aurier,DEF,Spurs,4.9
200,Tim Krul,0.0,479,Tim,Krul,Tim Krul,GK,Norwich,4.5
201,Ethan Ampadu,0.27838262915611300,196,Ethan,Ampadu,Ethan Ampadu,DEF,Chelsea,4.5
202,Edward Nketiah,0.0,18,Edward,Nketiah,Edward Nketiah,FWD,Arsenal,5.4
203,Joe Rodon,0.004619210958480840,564,Joe,Rodon,Joe Rodon,DEF,Spurs,4.3
204,Hamza Choudhury,2.5094761848449700,294,Hamza,Choudhury,Hamza Choudhury,MID,Leicester,4.4
205,Ben Johnson,0.8233025074005130,641,Ben,Johnson,Ben Johnson,DEF,West Ham,4.0
206,Nathan Ferguson,0.0,226,Nathan,Ferguson,Nathan Ferguson,DEF,Crystal Palace,4.5
207,Callum Hudson-Odoi,0.49942368268966700,197,Callum,Hudson-Odoi,Callum Hudson-Odoi,MID,Chelsea,5.3
208,Daniel Bachmann,0.2393774390220640,588,Daniel,Bachmann,Daniel Bachmann,GK,Watford,4.3
209,Cenk Tosun,0.5729398131370540,275,Cenk,Tosun,Cenk Tosun,FWD,Everton,5.0
210,Konstantinos Mavropanos,0.08092528581619260,22,Konstantinos,Mavropanos,Konstantinos Mavropanos,DEF,Arsenal,4.5
211,Michael Obafemi,0.6500231623649600,526,Michael,Obafemi,Michael Obafemi,FWD,Southampton,4.5
212,Aymeric Laporte,0.0,395,Aymeric,Laporte,Aymeric Laporte,DEF,Man City,5.6
213,Emerson Palmieri dos Santos,0.0,204,Emerson,Palmieri dos Santos,Emerson Palmieri dos Santos,DEF,Chelsea,4.5
214,Jordan Hugill,0.0,487,Jordan,Hugill,Jordan Hugill,FWD,Norwich,5.4
215,Lucas Rodrigues Moura da Silva,2.0132641792297400,552,Lucas,Rodrigues Moura da Silva,Lucas Rodrigues Moura da Silva,MID,Spurs,6.6
216,Martin Dubravka,2.5579304695129400,452,Martin,Dubravka,Martin Dubravka,GK,Newcastle,4.4
217,Pierre-Emerick Aubameyang,12.973090171814000,3,Pierre-Emerick,Aubameyang,Pierre-Emerick Aubameyang,FWD,Arsenal,9.6
218,Trevoh Chalobah,2.313228130340580,202,Trevoh,Chalobah,Trevoh Chalobah,DEF,Chelsea,4.7
219,Joseph Willock,4.3592848777771,446,Joseph,Willock,Joseph Willock,MID,Newcastle,5.7
220,Curtis Jones,0.536616861820221,371,Curtis,Jones,Curtis Jones,MID,Liverpool,5.0
221,Harvey Barnes,0.5267018675804140,295,Harvey,Barnes,Harvey Barnes,MID,Leicester,6.5
222,Dwight McNeil,3.1967597007751500,168,Dwight,McNeil,Dwight McNeil,MID,Burnley,5.7
223,Adam Masina,0.0,589,Adam,Masina,Adam Masina,DEF,Watford,4.3
224,Alireza Jahanbakhsh,0.0,124,Alireza,Jahanbakhsh,Alireza Jahanbakhsh,MID,Brighton,5.5
225,Alisson Ramses Becker,2.2607972621917700,358,Alisson,Ramses Becker,Alisson Ramses Becker,GK,Liverpool,6.0
226,Andriy Yarmolenko,0.298500657081604,628,Andriy,Yarmolenko,Andriy Yarmolenko,MID,West Ham,5.1
227,Bernd Leno,0.0,0,Bernd,Leno,Bernd Leno,GK,Arsenal,4.5
228,Conor Coady,3.316183090209960,656,Conor,Coady,Conor Coady,DEF,Wolves,4.6
229,Diogo Jota,1.351108431816100,367,Diogo,Jota,Diogo Jota,MID,Liverpool,8.4
230,Fabio Henrique Tavares,1.7471405267715500,359,Fabio Henrique,Tavares,Fabio Henrique Tavares,MID,Liverpool,5.4
231,Florin Andone,0.36910027265548700,136,Florin,Andone,Florin Andone,FWD,Brighton,5.0
232,Frederico Rodrigues de Paula Santos,3.652754783630370,421,Frederico,Rodrigues de Paula Santos,Frederico Rodrigues de Paula Santos,MID,Man Utd,4.9
233,Isaac Success Ajayi,0.16000372171402000,592,Isaac,Success Ajayi,Isaac Success Ajayi,FWD,Watford,5.0
234,Issa Diop,0.0,640,Issa,Diop,Issa Diop,DEF,West Ham,4.3
235,James Maddison,0.0,292,James,Maddison,James Maddison,MID,Leicester,7.0
236,Jannik Vestergaard,0.4138772487640380,301,Jannik,Vestergaard,Jannik Vestergaard,DEF,Leicester,4.7
237,Jason Steele,0.0,112,Jason,Steele,Jason Steele,GK,Brighton,4.0
238,John Ruddy,0.13152320683002500,674,John,Ruddy,John Ruddy,GK,Wolves,4.3
239,Jonathan Castro Otto,3.0570216178894000,660,Jonathan,Castro Otto,Jonathan Castro Otto,DEF,Wolves,4.5
240,Jorge Luiz Frello Filho,1.2161009311676000,181,Jorge Luiz,Frello Filho,Jorge Luiz Frello Filho,MID,Chelsea,5.9
241,Ken Sema,0.5171393752098080,590,Ken,Sema,Ken Sema,MID,Watford,5.2
242,Kepa Arrizabalaga,0.0,186,Kepa,Arrizabalaga,Kepa Arrizabalaga,GK,Chelsea,4.7
243,Kortney Hause,0.0,44,Kortney,Hause,Kortney Hause,DEF,Aston Villa,4.4
244,Leander Dendoncker,1.274571180343630,661,Leander,Dendoncker,Leander Dendoncker,MID,Wolves,4.7
245,Lucas Digne,3.8276915550231900,60,Lucas,Digne,Lucas Digne,DEF,Aston Villa,5.0
246,Lucas Torreira,1.024285078048710,17,Lucas,Torreira,Lucas Torreira,MID,Arsenal,4.5
247,Marcus Bettinelli,0.0016446751542389400,206,Marcus,Bettinelli,Marcus Bettinelli,GK,Chelsea,4.0
248,Marc Navarro,0.0019725672900676700,597,Marc,Navarro,Marc Navarro,DEF,Watford,4.0
249,Mateo Kovacic,0.0,183,Mateo,Kovacic,Mateo Kovacic,MID,Chelsea,5.0
250,Matt Doherty,0.0,550,Matt,Doherty,Matt Doherty,DEF,Spurs,4.7
251,Mohamed Elyounoussi,1.788362979888920,532,Mohamed,Elyounoussi,Mohamed Elyounoussi,MID,Southampton,5.4
252,Morgan Gibbs-White,0.5113154649734500,667,Morgan,Gibbs-White,Morgan Gibbs-White,MID,Wolves,4.5
253,Naby Keita,7.247385501861570,366,Naby,Keita,Naby Keita,MID,Liverpool,5.0
254,Ricardo Domingos Barbosa Pereira,2.4872727394104000,287,Ricardo Domingos,Barbosa Pereira,Ricardo Domingos Barbosa Pereira,DEF,Leicester,5.2
255,Ryan Fredericks,0.32199612259864800,631,Ryan,Fredericks,Ryan Fredericks,DEF,West Ham,4.4
256,Ryan Sessegnon,1.9691706895828200,558,Ryan,Sessegnon,Ryan Sessegnon,DEF,Spurs,4.3
257,Stuart Armstrong,2.513279438018800,518,Stuart,Armstrong,Stuart Armstrong,MID,Southampton,5.8
258,Vicente Guaita,0.0,211,Vicente,Guaita,Vicente Guaita,GK,Crystal Palace,4.6
259,Willy Boly,4.046984672546390,655,Willy,Boly,Willy Boly,DEF,Wolves,4.9
