,Name,Team,team_short_name,first_name,second_name,now_cost,element_type,pred_points
48,Conor Hourihane,Aston Villa,AVL,Conor,Hourihane,49,MID,0.1343896836042404
49,Emiliano Martinez,Aston Villa,AVL,Emiliano,Martinez,55,GK,1.573231816291809
50,Bjorn Engels,Aston Villa,AVL,Bjorn,Engels,45,DEF,0.0
51,Bertrand Traore,Aston Villa,AVL,Bertrand,Traore,57,MID,1.5169463157653809
52,Morgan Sanson,Aston Villa,AVL,Morgan,Sanson,50,MID,1.3551015853881836
53,John McGinn,Aston Villa,AVL,John,McGinn,56,MID,2.0881595611572266
54,Kortney Hause,Aston Villa,AVL,Kortney,Hause,44,DEF,0.0
55,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,AVL,Mahmoud Ahmed,Ibrahim Hassan,54,MID,2.792731046676636
56,Tyrone Mings,Aston Villa,AVL,Tyrone,Mings,50,DEF,0.8467365503311157
57,Ollie Watkins,Aston Villa,AVL,Ollie,Watkins,75,FWD,3.279370307922364
58,Marvelous Nakamba,Aston Villa,AVL,Marvelous,Nakamba,44,MID,0.0
59,Emiliano Buendia Stati,Aston Villa,AVL,Emiliano,Buendia Stati,61,MID,7.64776611328125
60,Matthew Cash,Aston Villa,AVL,Matthew,Cash,53,DEF,6.986486434936523
61,Ezri Konsa Ngoyo,Aston Villa,AVL,Ezri,Konsa Ngoyo,49,DEF,1.9022332429885864
62,Frederic Guilbert,Aston Villa,AVL,Frederic,Guilbert,45,DEF,0.4394441843032837
63,Wesley Moraes,Aston Villa,AVL,Wesley,Moraes,54,FWD,0.0
64,Mbwana Ally Samatta,Aston Villa,AVL,Mbwana Ally,Samatta,55,FWD,0.0
65,Keinan Davis,Aston Villa,AVL,Keinan,Davis,45,FWD,0.1465235352516174
66,Douglas Luiz Soares de Paulo,Aston Villa,AVL,Douglas Luiz,Soares de Paulo,43,MID,0.0
67,Jacob Ramsey,Aston Villa,AVL,Jacob,Ramsey,47,MID,1.3924195766448977
68,Ashley Young,Aston Villa,AVL,Ashley,Young,47,DEF,1.7619284391403198
69,Lucas Digne,Aston Villa,AVL,Lucas,Digne,50,DEF,3.827691555023194
70,Danny Ings,Aston Villa,AVL,Danny,Ings,77,FWD,2.4221487045288086
71,Leon Bailey,Aston Villa,AVL,Leon,Bailey,63,MID,0.1898573487997055
72,Aaron Ramsey,Aston Villa,AVL,Aaron,Ramsey,44,MID,1.3083064556121826
73,Jaden Philogene-Bidace,Aston Villa,AVL,Jaden,Philogene-Bidace,50,MID,0.0
74,Carney Chukwuemeka,Aston Villa,AVL,Carney,Chukwuemeka,45,MID,0.1396046727895736
75,Cameron Archer,Aston Villa,AVL,Cameron,Archer,45,FWD,0.0
76,Viljami Sinisalo,Aston Villa,AVL,Viljami,Sinisalo,40,GK,0.0
77,Lamare Bogarde,Aston Villa,AVL,Lamare,Bogarde,40,DEF,0.0
78,Tim Iroegbunam,Aston Villa,AVL,Tim,Iroegbunam,45,MID,0.5026006698608398
79,Filip Marschall,Aston Villa,AVL,Filip,Marschall,40,GK,0.0
80,Josh Feeney,Aston Villa,AVL,Josh,Feeney,40,DEF,0.0
81,Philippe Coutinho Correia,Aston Villa,AVL,Philippe,Coutinho Correia,71,MID,0.0
82,Kaine Hayden,Aston Villa,AVL,Kaine,Hayden,40,DEF,0.0
83,Robin Olsen,Aston Villa,AVL,Robin,Olsen,40,GK,1.2240867614746094
84,Benjamin Chrisene,Aston Villa,AVL,Benjamin,Chrisene,45,MID,0.0
85,Tommi O'Reilly,Aston Villa,AVL,Tommi,O'Reilly,45,MID,0.0
86,Pontus Jansson,Brentford,BRE,Pontus,Jansson,44,DEF,1.0571035146713257
87,Christian Norgaard,Brentford,BRE,Christian,Norgaard,50,MID,1.0250228643417358
88,Ivan Toney,Brentford,BRE,Ivan,Toney,68,FWD,5.237215042114258
89,Tariqe Fosu-Henry,Brentford,BRE,Tariqe,Fosu-Henry,51,MID,0.5801935791969299
90,David Raya Martin,Brentford,BRE,David,Raya Martin,43,GK,0.0
91,Sergi Canos,Brentford,BRE,Sergi,Canos,55,MID,0.0
92,Pelenda Joshua Dasilva,Brentford,BRE,Pelenda Joshua,Dasilva,53,MID,0.0
93,Rico Henry,Brentford,BRE,Rico,Henry,45,DEF,2.712189197540283
94,Vitaly Janelt,Brentford,BRE,Vitaly,Janelt,49,MID,0.0
95,Saman Ghoddos,Brentford,BRE,Saman,Ghoddos,52,MID,0.6981939077377319
96,Mathias Jensen,Brentford,BRE,Mathias,Jensen,49,MID,1.2067369222640991
97,Charlie Goode,Brentford,BRE,Charlie,Goode,39,DEF,0.2803812026977539
98,Marcus Forss,Brentford,BRE,Marcus,Forss,53,FWD,0.0
99,Mads Roerslev Rasmussen,Brentford,BRE,Mads,Roerslev Rasmussen,41,DEF,0.0
100,Mads Bech Sorensen,Brentford,BRE,Mads,Bech Sorensen,43,DEF,2.7150471210479736
101,Ethan Pinnock,Brentford,BRE,Ethan,Pinnock,44,DEF,4.544538497924805
102,Ellery Balcombe,Brentford,BRE,Ellery,Balcombe,40,GK,0.0
103,Jan Zamburek,Brentford,BRE,Jan,Zamburek,44,MID,0.0
104,Patrik Gunnarsson,Brentford,BRE,Patrik,Gunnarsson,39,GK,0.0
105,Halil Dervişoğlu,Brentford,BRE,Halil,Dervişoğlu,54,FWD,0.0
106,Bryan Mbeumo,Brentford,BRE,Bryan,Mbeumo,52,MID,0.0
107,Mads Bidstrup,Brentford,BRE,Mads,Bidstrup,44,MID,0.0
108,Frank Onyeka,Brentford,BRE,Frank,Onyeka,49,MID,0.0
109,Kristoffer Ajer,Brentford,BRE,Kristoffer,Ajer,44,DEF,0.0
110,Dominic Thompson,Brentford,BRE,Dominic,Thompson,44,DEF,0.0450483784079551
111,Shandon Baptiste,Brentford,BRE,Shandon,Baptiste,49,MID,1.1349902153015137
112,Yoane Wissa,Brentford,BRE,Yoane,Wissa,57,MID,10.198546409606934
113,Alvaro Fernandez,Brentford,BRE,Alvaro,Fernandez,45,GK,0.0
114,Alvaro Fernandez,Brentford,BRE,Alvaro,Fernandez,40,DEF,0.0
115,Alvaro Fernandez,Man Utd,MUN,Alvaro,Fernandez,45,GK,0.0
116,Alvaro Fernandez,Man Utd,MUN,Alvaro,Fernandez,40,DEF,0.0
117,Finley Stevens,Brentford,BRE,Finley,Stevens,39,DEF,0.0
118,Mathias Jorgensen,Brentford,BRE,Mathias,Jorgensen,45,DEF,1.4494739770889282
119,Paris Maghoma,Brentford,BRE,Paris,Maghoma,45,MID,0.0
120,Matthew Cox,Brentford,BRE,Matthew,Cox,40,GK,0.0
121,Maxwell Haygarth,Brentford,BRE,Maxwell,Haygarth,45,MID,0.0
122,Nathan Young-Coombes,Brentford,BRE,Nathan,Young-Coombes,45,FWD,1.2335360050201416
123,Myles Peart-Harris,Brentford,BRE,Myles,Peart-Harris,45,MID,0.0
124,Jonas Lossl,Brentford,BRE,Jonas,Lossl,45,GK,0.7111926674842834
125,Christian Eriksen,Brentford,BRE,Christian,Eriksen,56,MID,0.0
126,Julian Jeanvier,Brentford,BRE,Julian,Jeanvier,40,DEF,0.0
127,Adam Lallana,Brighton,BHA,Adam,Lallana,53,MID,0.0
128,Jason Steele,Brighton,BHA,Jason,Steele,39,GK,0.0
129,Pascal GroB,Brighton,BHA,Pascal,GroB,56,MID,0.0
130,Shane Duffy,Brighton,BHA,Shane,Duffy,40,DEF,2.6103553771972656
131,Davy Propper,Brighton,BHA,Davy,Propper,45,MID,0.0
132,Lewis Dunk,Brighton,BHA,Lewis,Dunk,48,DEF,0.6436160206794739
133,Solomon March,Brighton,BHA,Solomon,March,53,MID,4.3398118019104
134,Adam Webster,Brighton,BHA,Adam,Webster,43,DEF,4.053394317626953
135,Joel Veltman,Brighton,BHA,Joel,Veltman,42,DEF,0.0
136,Neal Maupay,Brighton,BHA,Neal,Maupay,62,FWD,0.4193390905857086
137,Leandro Trossard,Brighton,BHA,Leandro,Trossard,58,MID,0.0
138,Mathew Ryan,Brighton,BHA,Mathew,Ryan,45,GK,2.509190559387207
139,Alireza Jahanbakhsh,Brighton,BHA,Alireza,Jahanbakhsh,55,MID,0.0
140,Bernardo Fernandes Da Silva Junior,Brighton,BHA,Bernardo,Fernandes Da Silva Junior,40,DEF,0.0
141,Robert Sanchez,Brighton,BHA,Robert,Sanchez,45,GK,3.029308795928955
142,Yves Bissouma,Brighton,BHA,Yves,Bissouma,44,MID,1.4775573015213013
143,Tariq Lamptey,Brighton,BHA,Tariq,Lamptey,45,DEF,0.502781093120575
144,Aaron Connolly,Brighton,BHA,Aaron,Connolly,53,FWD,0.6834605932235718
145,Steven Alzate,Brighton,BHA,Steven,Alzate,48,MID,0.4083122909069061
146,Alexis Mac Allister,Brighton,BHA,Alexis,Mac Allister,51,MID,9.091980934143066
147,Jakub Moder,Brighton,BHA,Jakub,Moder,45,MID,2.427640199661255
148,Danny Welbeck,Brighton,BHA,Danny,Welbeck,59,FWD,1.4991530179977417
149,Enock Mwepu,Brighton,BHA,Enock,Mwepu,59,MID,4.349115371704102
150,Kjell Scherpen,Brighton,BHA,Kjell,Scherpen,45,GK,0.0
151,Florin Andone,Brighton,BHA,Florin,Andone,50,FWD,0.369100272655487
152,Andi Zeqiri,Brighton,BHA,Andi,Zeqiri,45,FWD,0.0825502127408981
153,Michal Karbownik,Brighton,BHA,Michal,Karbownik,40,DEF,0.0
154,Taylor Richards,Brighton,BHA,Taylor,Richards,45,MID,0.0782237648963928
155,Moises Caicedo,Brighton,BHA,Moises,Caicedo,45,MID,0.0
156,Haydon Roberts,Brighton,BHA,Haydon,Roberts,39,DEF,0.0
157,Marc Cucurella,Brighton,BHA,Marc,Cucurella,49,DEF,0.0
158,Jurgen Locadia,Brighton,BHA,Jurgen,Locadia,44,FWD,0.2992545068264007
159,Jeremy Sarmiento,Brighton,BHA,Jeremy,Sarmiento,45,MID,0.8109638094902039
160,Ed Turns,Brighton,BHA,Ed,Turns,40,DEF,0.0
161,Marc Leonard,Brighton,BHA,Marc,Leonard,45,MID,0.0
162,Evan Ferguson,Brighton,BHA,Evan,Ferguson,45,FWD,0.0824668779969215
163,Thomas McGill,Brighton,BHA,Thomas,McGill,40,GK,0.0
164,Odeluga Offiah,Brighton,BHA,Odeluga,Offiah,40,DEF,0.0
165,James Tarkowski,Burnley,BUR,James,Tarkowski,49,DEF,1.6182161569595337
166,Phil Bardsley,Burnley,BUR,Phil,Bardsley,39,DEF,0.7561503648757935
167,Erik Pieters,Burnley,BUR,Erik,Pieters,41,DEF,2.470125198364258
168,Jack Cork,Burnley,BUR,Jack,Cork,44,MID,0.687950611114502
169,Dale Stephens,Burnley,BUR,Dale,Stephens,44,MID,0.7520977854728699
170,Kevin Long,Burnley,BUR,Kevin,Long,40,DEF,0.5165788531303406
171,Jay Rodriguez,Burnley,BUR,Jay,Rodriguez,51,FWD,4.748467445373535
172,Ashley Barnes,Burnley,BUR,Ashley,Barnes,52,FWD,2.3085880279541016
173,Ben Mee,Burnley,BUR,Ben,Mee,46,DEF,3.4588747024536133
174,Ashley Westwood,Burnley,BUR,Ashley,Westwood,52,MID,1.4072232246398926
175,Johann Berg Gudmundsson,Burnley,BUR,Johann Berg,Gudmundsson,54,MID,0.0
176,Matthew Lowton,Burnley,BUR,Matthew,Lowton,44,DEF,0.0
177,Matej Vydra,Burnley,BUR,Matej,Vydra,52,FWD,0.0
178,Nick Pope,Burnley,BUR,Nick,Pope,53,GK,3.994560956954956
179,Charlie Taylor,Burnley,BUR,Charlie,Taylor,44,DEF,3.981003046035767
180,Will Norris,Burnley,BUR,Will,Norris,43,GK,0.1641081571578979
181,Josh Brownhill,Burnley,BUR,Josh,Brownhill,43,MID,2.5482113361358643
182,Josh Benson,Burnley,BUR,Josh,Benson,45,MID,0.1677110642194748
183,Bailey Peacock-Farrell,Burnley,BUR,Bailey,Peacock-Farrell,45,GK,0.0
184,Dwight McNeil,Burnley,BUR,Dwight,McNeil,55,MID,3.1967597007751465
185,Nathan Collins,Burnley,BUR,Nathan,Collins,43,DEF,0.0
186,Wayne Hennessey,Burnley,BUR,Wayne,Hennessey,45,GK,1.166348218917847
187,Lewis Richardson,Burnley,BUR,Lewis,Richardson,44,FWD,0.2486948817968368
188,Bobby Thomas,Burnley,BUR,Bobby,Thomas,39,DEF,0.0
189,Owen Dodgson,Burnley,BUR,Owen,Dodgson,39,DEF,0.0
190,Aaron Lennon,Burnley,BUR,Aaron,Lennon,46,MID,4.056096076965332
191,Maxwel Cornet,Burnley,BUR,Maxwel,Cornet,58,MID,1.8978497982025144
192,Connor Roberts,Burnley,BUR,Connor,Roberts,44,DEF,0.0
193,Wout Weghorst,Burnley,BUR,Wout,Weghorst,63,FWD,0.0
194,Sam Waller,Burnley,BUR,Sam,Waller,40,GK,0.0
195,Dara Costelloe,Burnley,BUR,Dara,Costelloe,45,MID,0.0
196,Cesar Azpilicueta,Chelsea,CHE,Cesar,Azpilicueta,56,DEF,5.757927894592285
197,Olivier Giroud,Chelsea,CHE,Olivier,Giroud,65,FWD,4.369631290435791
198,Thiago Emiliano da Silva,Chelsea,CHE,Thiago,Emiliano da Silva,56,DEF,0.5695022344589233
199,Marcos Alonso,Chelsea,CHE,Marcos,Alonso,57,DEF,3.284694194793701
200,Jorge Luiz Frello Filho,Chelsea,CHE,Jorge Luiz,Frello Filho,57,MID,1.2161009311676023
201,Ross Barkley,Chelsea,CHE,Ross,Barkley,52,MID,2.460550546646118
202,Mateo Kovacic,Chelsea,CHE,Mateo,Kovacic,49,MID,0.0
203,Michy Batshuayi,Chelsea,CHE,Michy,Batshuayi,55,FWD,0.5211523771286011
204,Antonio Rudiger,Chelsea,CHE,Antonio,Rudiger,61,DEF,4.102414608001709
205,Kepa Arrizabalaga,Chelsea,CHE,Kepa,Arrizabalaga,45,GK,0.0
206,N'Golo Kante,Chelsea,CHE,N'Golo,Kante,49,MID,2.1592586040496826
207,Hakim Ziyech,Chelsea,CHE,Hakim,Ziyech,73,MID,0.6359730362892151
208,Ruben Loftus-Cheek,Chelsea,CHE,Ruben,Loftus-Cheek,54,MID,1.2570151090621948
209,Andreas Christensen,Chelsea,CHE,Andreas,Christensen,46,DEF,0.0
210,Timo Werner,Chelsea,CHE,Timo,Werner,86,FWD,0.0
211,Benjamin Chilwell,Chelsea,CHE,Benjamin,Chilwell,56,DEF,1.9045913219451904
212,Tammy Abraham,Chelsea,CHE,Tammy,Abraham,65,FWD,2.554638385772705
213,Christian Pulisic,Chelsea,CHE,Christian,Pulisic,79,MID,7.962251663208008
214,Mason Mount,Chelsea,CHE,Mason,Mount,77,MID,6.198390007019043
215,Ethan Ampadu,Chelsea,CHE,Ethan,Ampadu,45,DEF,0.2783826291561126
216,Callum Hudson-Odoi,Chelsea,CHE,Callum,Hudson-Odoi,53,MID,0.4994236826896667
217,Kai Havertz,Chelsea,CHE,Kai,Havertz,79,MID,1.134553074836731
218,Reece James,Chelsea,CHE,Reece,James,64,DEF,1.1217749118804932
219,Edouard Mendy,Chelsea,CHE,Edouard,Mendy,61,GK,2.074486017227173
220,Malang Sarr,Chelsea,CHE,Malang,Sarr,49,DEF,1.5082573890686035
221,Trevoh Chalobah,Chelsea,CHE,Trevoh,Chalobah,47,DEF,2.313228130340576
222,Romelu Lukaku,Chelsea,CHE,Romelu,Lukaku,114,FWD,1.7840152978897097
223,Emerson Palmieri dos Santos,Chelsea,CHE,Emerson,Palmieri dos Santos,45,DEF,0.0
224,Saul Niguez,Chelsea,CHE,Saul,Niguez,49,MID,0.6011524796485901
225,Marcus Bettinelli,Chelsea,CHE,Marcus,Bettinelli,40,GK,0.0016446751542389
226,Lewis Hall,Chelsea,CHE,Lewis,Hall,45,MID,0.0
227,Harvey Vale,Chelsea,CHE,Harvey,Vale,45,MID,0.0
228,Robert Kenedy Nunes do Nascimento,Chelsea,CHE,Robert Kenedy,Nunes do Nascimento,45,DEF,0.0
229,Conor Gallagher,Crystal Palace,CRY,Conor,Gallagher,60,MID,0.5126861929893494
230,Vicente Guaita,Crystal Palace,CRY,Vicente,Guaita,46,GK,0.0
231,James Tomkins,Crystal Palace,CRY,James,Tomkins,43,DEF,0.0
232,James McArthur,Crystal Palace,CRY,James,McArthur,43,MID,2.801295042037964
233,Christian Benteke,Crystal Palace,CRY,Christian,Benteke,59,FWD,2.24397087097168
234,Cheikhou Kouyate,Crystal Palace,CRY,Cheikhou,Kouyate,45,DEF,0.0
235,Martin Kelly,Crystal Palace,CRY,Martin,Kelly,38,DEF,0.5820547342300415
236,Luka Milivojevic,Crystal Palace,CRY,Luka,Milivojevic,52,MID,5.007279872894287
237,Jordan Ayew,Crystal Palace,CRY,Jordan,Ayew,58,FWD,2.7376930713653564
238,Wilfried Zaha,Crystal Palace,CRY,Wilfried,Zaha,69,MID,3.582018613815308
239,Jeffrey Schlupp,Crystal Palace,CRY,Jeffrey,Schlupp,54,MID,1.59818696975708
240,Jack Butland,Crystal Palace,CRY,Jack,Butland,44,GK,1.3839960098266602
241,Jairo Riedewald,Crystal Palace,CRY,Jairo,Riedewald,47,MID,0.7864336967468262
242,Jarosław Jach,Crystal Palace,CRY,Jarosław,Jach,42,DEF,0.0
243,Jean-Philippe Mateta,Crystal Palace,CRY,Jean-Philippe,Mateta,53,FWD,2.622221231460572
244,Eberechi Eze,Crystal Palace,CRY,Eberechi,Eze,59,MID,6.668689727783203
245,Nathan Ferguson,Crystal Palace,CRY,Nathan,Ferguson,45,DEF,0.0
246,Tyrick Mitchell,Crystal Palace,CRY,Tyrick,Mitchell,45,DEF,0.1095266118645668
247,Will Hughes,Crystal Palace,CRY,Will,Hughes,47,MID,0.0
248,Michael Olise,Crystal Palace,CRY,Michael,Olise,53,MID,0.0
249,Joel Ward,Crystal Palace,CRY,Joel,Ward,45,DEF,2.896422863006592
250,Marc Guehi,Crystal Palace,CRY,Marc,Guehi,45,DEF,1.4940671920776367
251,Joachim Andersen,Crystal Palace,CRY,Joachim,Andersen,46,DEF,11.457754135131836
252,Nathaniel Clyne,Crystal Palace,CRY,Nathaniel,Clyne,43,DEF,5.477578163146973
253,Reece Hannam,Crystal Palace,CRY,Reece,Hannam,39,DEF,0.0
254,Jesurun Rak-Sakyi,Crystal Palace,CRY,Jesurun,Rak-Sakyi,44,MID,0.0
255,Robert Street,Crystal Palace,CRY,Robert,Street,45,FWD,0.0
256,Scott Banks,Crystal Palace,CRY,Scott,Banks,45,MID,0.0
257,Remi Matthews,Crystal Palace,CRY,Remi,Matthews,39,GK,0.0
258,Odsonne Edouard,Crystal Palace,CRY,Odsonne,Edouard,60,FWD,0.4491926729679107
259,Tayo Adaramola,Crystal Palace,CRY,Tayo,Adaramola,40,DEF,0.0
260,Anwar El Ghazi,Everton,EVE,Anwar,El Ghazi,56,MID,0.0
261,Fabian Delph,Everton,EVE,Fabian,Delph,42,MID,1.9216220378875728
262,Gylfi Sigurdsson,Everton,EVE,Gylfi,Sigurdsson,67,MID,0.0
263,Seamus Coleman,Everton,EVE,Seamus,Coleman,49,DEF,2.1583824157714844
264,James Rodriguez,Everton,EVE,James,Rodriguez,69,MID,2.2440080642700195
265,Bernard Anicio Caldeira Duarte,Everton,EVE,Bernard,Anicio Caldeira Duarte,55,MID,0.7827533483505249
266,Michael Keane,Everton,EVE,Michael,Keane,46,DEF,2.159359931945801
267,Jordan Pickford,Everton,EVE,Jordan,Pickford,48,GK,3.9828834533691406
268,Allan Marques Loureiro,Everton,EVE,Allan,Marques Loureiro,43,MID,1.2450679540634155
269,Andre Filipe Tavares Gomes,Everton,EVE,Andre Filipe,Tavares Gomes,49,MID,0.9102894067764282
270,Abdoulaye Doucoure,Everton,EVE,Abdoulaye,Doucoure,53,MID,3.323537826538086
271,Alex Iwobi,Everton,EVE,Alex,Iwobi,58,MID,0.0
272,Yerry Mina,Everton,EVE,Yerry,Mina,49,DEF,1.611438512802124
273,Tom Davies,Everton,EVE,Tom,Davies,48,MID,0.0
274,Dominic Calvert-Lewin,Everton,EVE,Dominic,Calvert-Lewin,77,FWD,2.974461555480957
275,Mason Holgate,Everton,EVE,Mason,Holgate,42,DEF,0.0
276,Ben Godfrey,Everton,EVE,Ben,Godfrey,47,DEF,0.3084104657173157
277,Richarlison de Andrade,Everton,EVE,Richarlison,de Andrade,76,FWD,1.5000547170639038
278,Joao Virginia,Everton,EVE,Joao,Virginia,40,GK,0.1646421402692794
279,Donny van de Beek,Everton,EVE,Donny,van de Beek,57,MID,0.0
280,Bamidele Alli,Everton,EVE,Bamidele,Alli,62,MID,2.572068691253662
281,Asmir Begović,Everton,EVE,Asmir,Begović,40,GK,0.0
282,Andros Townsend,Everton,EVE,Andros,Townsend,52,MID,10.75607967376709
283,Demarai Gray,Everton,EVE,Demarai,Gray,54,MID,1.0819600820541382
284,Jonjoe Kenny,Everton,EVE,Jonjoe,Kenny,43,DEF,0.3942956924438476
285,Anthony Gordon,Everton,EVE,Anthony,Gordon,47,MID,0.5409998893737793
286,Jean-Philippe Gbamin,Everton,EVE,Jean-Philippe,Gbamin,44,MID,0.0
287,Jarrad Branthwaite,Everton,EVE,Jarrad,Branthwaite,40,DEF,0.8094353079795837
288,Nathan Broadhead,Everton,EVE,Nathan,Broadhead,45,FWD,0.0024980073794722
289,Moise Kean,Everton,EVE,Moise,Kean,60,FWD,0.6519733667373657
290,Niels Nkounkou,Everton,EVE,Niels,Nkounkou,40,DEF,0.0959652289748191
291,Andy Lonergan,Everton,EVE,Andy,Lonergan,39,GK,0.0
292,Salomon Rondon,Everton,EVE,Salomon,Rondon,60,FWD,2.635622978210449
293,Ellis Simms,Everton,EVE,Ellis,Simms,45,FWD,0.10170479118824
294,Lewis Dobbin,Everton,EVE,Lewis,Dobbin,45,FWD,0.0293278228491544
295,Charlie Whitaker,Everton,EVE,Charlie,Whitaker,45,MID,0.0
296,Harry Tyrer,Everton,EVE,Harry,Tyrer,40,GK,0.0
297,Cenk Tosun,Everton,EVE,Cenk,Tosun,50,FWD,0.5729398131370544
298,Reece Welch,Everton,EVE,Reece,Welch,40,DEF,0.0
299,Tyler Onyango,Everton,EVE,Tyler,Onyango,45,MID,0.0
300,Nathan Patterson,Everton,EVE,Nathan,Patterson,41,DEF,0.0
301,Vitalii Mykolenko,Everton,EVE,Vitalii,Mykolenko,49,DEF,1.0351482629776
302,Isaac Price,Everton,EVE,Isaac,Price,45,MID,0.0
303,Kasper Schmeichel,Leicester,LEI,Kasper,Schmeichel,50,GK,5.816557884216309
304,Jonny Evans,Leicester,LEI,Jonny,Evans,54,DEF,2.686302900314331
305,Marc Albrighton,Leicester,LEI,Marc,Albrighton,52,MID,3.033384084701538
306,Nampalys Mendy,Leicester,LEI,Nampalys,Mendy,43,MID,0.0
307,Danny Ward,Leicester,LEI,Danny,Ward,40,GK,0.6129254102706909
308,Jamie Vardy,Leicester,LEI,Jamie,Vardy,103,FWD,2.6600379943847656
309,Dennis Praet,Leicester,LEI,Dennis,Praet,49,MID,0.0
310,Ricardo Domingos Barbosa Pereira,Leicester,LEI,Ricardo Domingos,Barbosa Pereira,52,DEF,2.4872727394104004
311,Daniel Amartey,Leicester,LEI,Daniel,Amartey,40,DEF,0.0
312,Timothy Castagne,Leicester,LEI,Timothy,Castagne,53,DEF,1.1206586360931396
313,Youri Tielemans,Leicester,LEI,Youri,Tielemans,64,MID,0.0
